House for sale,Loan,current account,Textile,Unemployment,government,Hotels,Jobs,Birthday,Credit,revenue,M0,Economy News,Crisis,Manufacturing,Real estate,protest,deficit,Inflation,Travel,Aviation,Economic crisis,Interest,Car Loan,Weddings,FMCG,Fitness,budget,Tourism,subsidy,stock market,Recession,USAID,taxes,ehsaas program,World News,Politics,Cinema,trade,Financial crisis,CPI,Cars,Newspapers,Cigarette,House Loan,Food,LSM,Construction,PSB,Agriculture,mehngai,Fast Food,Business News,parliament,Investment,economic growth,elections
0,17,0,18,24,20,31,29,30,34,0,0,0,34,32,26,0,0,7,23,33,0,35,0,0,0,12,7,22,0,17,0,10,12,0,19,12,15,23,0,0,31,23,0,0,42,0,20,0,13,0,16,0,0,19,0,0
0,10,0,11,35,17,24,23,22,32,0,0,0,24,18,24,0,0,7,24,21,0,34,0,0,0,12,7,19,0,13,0,9,15,0,17,14,19,23,0,0,31,21,0,0,32,0,19,0,8,0,12,0,0,19,0,2
0,8,0,12,16,14,28,25,25,36,0,0,0,20,17,26,0,0,8,23,27,0,33,0,57,0,11,4,14,0,21,0,13,0,0,15,0,15,23,0,0,31,19,0,0,29,0,16,0,9,0,0,0,11,14,0,2
0,8,0,14,0,16,27,27,24,33,32,0,0,27,17,28,0,0,11,26,31,0,35,0,0,0,12,6,13,0,13,0,16,0,0,19,17,15,21,0,0,27,21,0,0,35,0,17,0,9,0,11,0,0,20,0,3
0,8,0,18,20,18,27,25,26,31,37,0,0,30,22,24,0,0,5,26,33,0,30,0,0,0,13,6,16,0,14,0,9,0,0,10,23,13,24,0,0,29,18,0,0,36,0,15,0,10,0,12,0,12,13,0,3
0,7,0,14,15,17,30,22,21,34,0,0,0,36,16,27,28,0,13,24,23,0,27,0,57,0,10,5,15,0,13,0,9,9,0,13,16,12,17,0,0,27,17,62,0,35,0,18,0,11,0,13,0,0,17,53,2
0,8,0,14,21,20,27,26,25,35,31,0,0,38,15,30,0,0,14,27,24,0,43,0,47,0,8,6,16,0,12,0,9,9,0,13,18,12,21,0,100,30,19,0,0,36,0,18,0,10,0,9,0,0,20,63,2
0,7,0,9,11,14,28,24,21,30,0,0,0,23,14,24,0,0,5,23,19,0,26,0,45,0,7,4,10,0,14,0,6,0,0,11,9,15,15,0,0,28,18,0,0,31,0,13,0,6,0,0,0,0,12,0,1
0,8,0,11,6,15,24,22,20,25,0,0,0,16,12,20,0,0,5,20,23,0,24,0,74,69,11,4,10,0,9,0,7,0,0,9,6,14,14,0,0,24,14,0,0,24,0,14,0,5,0,11,0,0,11,0,0
0,7,0,7,0,15,21,23,24,27,0,0,0,13,15,31,0,0,4,21,21,0,22,0,0,0,13,5,11,0,10,0,5,8,0,13,8,13,15,0,0,26,17,43,0,28,0,29,0,5,0,0,0,13,13,0,0
0,4,0,10,0,18,25,27,27,29,0,0,0,26,11,21,0,0,6,22,19,0,38,0,43,0,9,6,13,0,17,0,8,0,0,17,19,11,17,0,0,31,22,0,0,31,0,13,0,5,0,10,0,0,12,0,0
0,4,0,12,9,16,22,26,28,31,0,0,0,95,14,21,0,0,8,18,26,64,32,0,47,0,12,5,14,0,24,0,8,9,0,22,19,13,19,98,0,31,18,44,0,34,0,15,0,9,0,10,0,0,15,0,3
0,3,0,13,12,16,23,25,28,27,30,0,0,75,14,24,0,0,5,22,22,36,40,0,51,0,10,4,17,0,19,5,6,9,0,15,21,14,23,75,0,28,21,0,0,42,0,16,0,7,0,8,0,9,16,0,6
0,2,0,9,22,14,18,20,33,23,40,0,0,87,15,15,0,0,6,17,20,74,36,0,0,0,14,4,15,0,14,6,5,0,0,21,18,14,17,98,0,26,20,0,0,34,0,13,0,6,0,11,0,0,12,0,1
0,3,0,14,10,13,20,27,32,23,28,0,0,78,13,20,0,0,6,20,21,66,23,0,0,100,13,4,12,0,12,6,9,8,0,17,14,14,16,100,0,28,26,51,0,29,0,13,0,7,0,8,0,0,12,0,0
0,2,0,9,0,13,20,23,29,22,30,0,0,57,15,16,0,0,4,17,20,43,24,0,0,0,10,5,11,0,12,5,7,0,0,11,13,13,14,48,0,26,21,47,0,29,0,14,0,7,0,10,0,0,10,0,1
0,3,0,10,14,17,18,23,30,24,32,0,0,80,17,15,0,0,5,19,22,100,25,0,33,0,12,4,15,0,15,5,8,6,0,8,16,13,18,66,0,27,23,49,0,33,0,14,0,9,0,9,0,0,12,0,0
0,4,0,9,14,15,20,24,29,25,39,0,0,74,13,16,0,55,4,17,20,98,28,0,43,0,10,5,13,0,13,5,6,8,0,12,11,12,16,78,0,27,22,100,0,28,0,12,0,6,0,6,0,6,10,0,1
0,3,0,10,23,16,21,26,30,21,30,0,0,66,13,18,0,0,6,19,23,57,34,0,45,59,12,5,11,0,15,5,6,10,0,9,16,14,19,69,0,33,24,35,0,30,0,12,0,7,0,10,0,0,9,33,1
43,3,0,8,10,11,19,23,29,19,22,0,0,30,9,14,0,0,0,19,19,44,30,0,30,56,9,4,10,0,10,0,4,8,0,22,5,17,12,23,0,30,25,53,0,24,0,10,0,5,0,7,0,0,9,0,2
0,2,0,5,6,12,22,23,27,18,18,0,0,29,10,12,0,0,3,17,19,19,13,0,26,0,8,4,9,40,10,0,4,9,0,9,7,15,11,20,0,27,20,0,0,21,0,10,0,5,0,6,0,0,9,0,0
0,2,0,7,7,11,22,26,32,23,32,0,0,26,11,18,0,0,3,16,16,0,14,0,37,0,10,3,9,0,10,0,4,10,0,12,8,14,14,20,0,30,23,44,0,26,0,10,0,4,0,7,0,0,9,0,0
0,2,0,6,7,13,22,27,37,23,20,0,0,26,10,15,0,0,0,17,22,22,14,0,46,0,12,4,9,0,10,0,5,8,0,15,5,11,12,17,0,35,23,39,0,23,0,10,0,4,0,6,0,0,8,0,2
0,2,0,9,14,15,21,31,38,22,34,0,0,37,17,15,0,0,4,19,21,38,27,0,57,69,10,4,13,0,13,0,6,11,0,14,13,13,15,25,0,33,25,50,0,30,0,13,0,7,0,14,0,6,10,33,1
0,2,0,8,7,12,20,24,41,21,19,0,0,36,13,14,0,0,4,14,18,41,24,0,50,71,9,4,13,0,11,4,9,7,0,18,13,17,13,18,0,30,38,0,0,27,0,14,0,5,0,10,0,5,8,0,1
0,2,0,8,15,12,18,26,42,24,27,0,0,43,14,14,0,0,6,18,21,25,20,0,44,0,8,5,15,0,11,0,6,7,0,13,13,17,16,34,0,33,26,49,0,32,0,16,0,6,0,16,100,0,11,0,1
0,1,0,7,7,10,17,25,39,21,29,0,0,24,12,13,15,0,4,18,23,22,20,0,45,0,10,5,10,0,11,0,6,10,0,9,11,17,14,18,0,34,36,52,0,24,0,13,0,4,0,8,0,0,8,0,0
0,2,0,5,7,11,17,24,39,22,30,0,0,24,8,14,0,0,3,18,21,0,18,0,43,0,9,4,10,0,8,0,6,8,0,12,11,19,12,17,0,33,31,38,0,26,0,11,0,5,0,6,0,0,10,0,1
0,2,0,7,10,13,21,26,36,22,18,0,0,42,12,15,0,37,3,16,21,35,35,0,41,0,9,5,13,0,6,0,5,11,0,17,13,16,14,22,47,33,26,59,0,31,0,15,0,5,0,10,0,0,9,23,1
0,3,0,8,10,10,19,25,36,20,19,0,0,29,11,15,0,0,5,19,23,0,25,0,49,52,8,3,10,0,6,2,4,11,0,14,14,17,15,23,0,34,25,59,0,30,0,14,0,7,0,12,0,4,10,0,1
0,4,0,10,19,13,23,26,42,25,30,0,0,39,12,17,12,43,7,19,19,40,30,0,57,52,11,5,12,0,13,0,5,14,0,14,14,18,16,33,0,31,29,49,0,30,0,14,0,5,0,13,0,4,11,26,2
0,2,0,5,5,9,21,25,39,21,27,0,0,20,7,12,0,0,3,19,18,0,18,0,44,60,9,4,10,0,8,0,4,9,0,25,9,18,14,0,0,30,23,36,0,23,0,12,0,4,0,8,0,0,9,0,1
0,2,0,5,6,9,20,23,39,19,16,0,0,16,8,13,0,0,0,15,13,0,22,0,32,50,9,4,8,0,6,0,4,6,0,11,6,21,11,0,0,29,18,26,0,20,0,10,0,2,0,8,0,0,8,0,0
0,3,0,6,5,7,20,28,45,22,17,0,0,14,6,15,0,0,3,17,23,0,23,0,30,59,8,4,8,0,7,0,4,0,0,10,6,16,12,0,0,37,17,39,0,24,0,10,0,3,0,8,0,0,9,0,1
0,3,0,7,0,10,19,30,53,24,31,0,0,14,9,14,0,0,4,17,24,0,23,0,50,58,10,3,8,0,7,0,4,7,0,12,5,17,12,0,0,34,21,44,0,24,0,12,0,4,0,5,0,4,10,0,1
35,2,0,6,8,12,20,28,53,23,35,0,0,20,12,16,0,0,4,18,25,0,25,0,46,0,10,5,11,0,7,0,4,7,0,11,14,17,14,13,0,35,20,49,0,32,0,14,0,7,0,13,0,0,11,0,1
0,2,0,8,8,10,19,24,48,26,21,0,0,24,12,14,0,0,4,18,24,0,25,0,39,50,8,4,10,0,5,0,5,10,0,11,11,23,15,14,0,34,20,56,0,26,0,14,0,6,0,5,0,6,9,0,7
0,3,0,8,16,9,16,26,55,22,28,0,0,26,12,12,0,38,6,17,25,0,26,0,28,47,8,5,11,0,6,0,5,8,0,12,13,20,15,14,0,34,20,31,0,26,0,14,0,5,0,10,0,6,10,0,3
25,2,0,5,9,9,15,22,50,21,27,0,0,22,9,15,66,0,4,15,18,0,22,0,25,52,9,4,9,0,7,0,4,6,0,24,12,16,13,11,25,32,22,57,0,23,0,11,0,4,0,8,0,0,8,0,0
0,1,0,2,5,11,7,15,36,17,10,0,0,32,4,6,100,0,2,9,9,0,11,0,20,0,6,3,6,0,8,0,2,5,0,19,12,11,7,6,0,22,20,15,0,14,0,5,0,2,0,3,0,3,4,0,1
0,2,0,4,8,8,10,18,48,18,15,0,0,25,6,7,38,25,3,10,11,0,18,0,30,61,8,3,7,0,14,2,5,5,0,14,13,11,9,7,0,25,20,29,0,18,0,7,0,3,0,6,70,4,6,0,1
0,2,0,5,6,7,13,17,42,18,20,0,0,21,7,7,18,25,4,11,11,0,19,0,33,52,8,4,7,0,8,0,5,7,0,10,9,11,9,5,0,26,17,32,0,20,0,9,0,3,0,7,0,3,6,0,1
0,2,25,4,11,8,13,20,48,20,21,0,0,22,8,8,19,27,5,14,13,11,24,0,46,48,9,4,8,0,7,0,5,9,0,14,11,13,12,12,18,30,16,51,0,22,0,11,0,4,0,5,0,3,8,15,1
23,2,0,5,7,5,15,19,52,19,18,0,0,16,8,9,13,27,2,13,12,0,20,0,30,47,8,4,7,0,5,3,5,5,0,8,7,15,9,6,0,34,15,37,0,19,0,8,0,3,0,6,0,0,6,14,1
0,2,0,3,3,5,14,17,53,18,16,0,0,17,6,7,8,17,2,11,12,8,15,0,26,37,7,2,5,0,3,1,3,4,0,10,7,17,8,4,0,30,17,35,0,17,0,6,0,3,0,6,0,2,5,0,0
0,2,0,4,3,4,13,20,60,22,14,0,0,14,6,8,20,20,0,11,12,0,12,0,28,37,8,3,5,0,5,0,3,6,0,9,7,11,8,7,0,34,18,27,0,17,0,6,0,2,0,3,0,0,5,0,1
30,2,0,4,4,5,13,22,65,21,16,0,0,12,7,9,17,0,1,12,16,0,24,0,37,44,9,3,6,0,5,0,4,5,0,9,8,15,10,0,0,31,17,47,0,20,0,8,0,4,0,5,0,3,5,18,3
36,2,0,6,5,8,14,38,62,22,24,0,0,21,9,10,28,26,3,13,15,0,26,0,34,58,10,3,9,0,5,2,4,6,0,9,11,14,12,5,0,31,17,37,0,24,0,11,0,3,0,5,0,5,6,18,4
0,2,0,4,7,6,9,19,55,18,16,0,0,20,7,7,41,24,2,10,11,0,26,0,33,29,8,3,7,0,5,1,3,6,0,10,10,20,10,5,0,26,15,67,0,22,0,7,0,3,0,8,47,10,5,0,69
17,2,0,6,10,7,10,20,60,20,23,0,0,22,9,8,33,31,4,12,12,8,29,0,26,40,8,3,9,0,4,1,6,6,0,8,9,17,11,13,18,42,15,81,0,22,0,9,0,3,0,7,0,8,5,15,28
25,2,0,4,6,6,10,19,61,24,21,0,0,18,7,9,16,19,2,12,13,0,22,0,30,56,9,4,7,0,3,1,2,4,0,8,7,17,10,7,0,33,14,63,0,22,0,8,0,3,0,5,0,9,5,13,8
20,2,0,5,4,6,10,19,58,20,16,0,0,13,8,8,16,16,3,11,13,0,24,0,26,38,10,3,6,0,4,0,3,4,0,10,9,15,10,0,0,23,13,73,0,22,0,8,0,4,0,6,41,12,6,0,4
18,2,0,5,9,6,12,19,59,20,18,0,0,16,8,9,14,14,4,12,11,0,30,0,27,39,10,3,7,0,5,0,4,6,0,6,11,14,11,0,0,24,13,67,0,25,0,10,0,4,0,8,0,7,6,0,4
19,2,0,5,7,6,12,17,59,21,22,0,0,20,8,7,13,17,3,13,13,0,25,0,47,63,9,3,7,0,4,1,3,7,0,6,9,16,9,7,0,37,12,44,0,22,0,9,0,4,0,5,0,5,6,26,6
17,2,0,4,10,6,12,18,56,19,23,0,0,16,7,8,14,28,4,12,12,0,27,0,38,28,9,4,7,13,4,0,3,6,0,9,12,16,9,4,15,44,12,49,0,20,0,8,0,3,0,8,0,6,6,18,100
16,2,0,3,4,5,12,17,57,19,14,100,0,13,6,8,26,21,2,12,11,0,20,0,46,43,9,3,5,0,3,0,3,5,0,9,11,16,7,0,0,25,13,29,0,18,0,7,0,2,0,7,0,6,5,10,34
23,2,0,3,3,4,12,18,56,24,14,0,0,13,5,9,7,0,2,13,14,0,18,0,18,50,10,3,5,0,3,1,4,5,0,7,6,15,7,0,0,25,11,51,0,19,0,7,0,3,0,5,0,5,4,0,2
23,2,0,3,2,6,14,21,67,23,13,0,0,10,5,9,14,0,0,14,14,0,20,0,41,48,12,3,6,0,3,0,3,7,0,8,6,19,9,3,0,32,12,31,0,19,0,7,0,2,0,8,41,2,6,0,1
16,2,0,5,5,6,12,22,77,24,21,0,0,14,7,11,23,31,2,16,14,0,27,5,45,57,12,4,8,0,5,0,4,8,0,9,7,16,10,0,18,53,10,38,0,23,0,9,0,3,0,8,0,3,7,0,2
20,3,0,6,6,7,13,18,67,23,18,0,0,17,10,8,15,34,2,14,14,0,28,0,35,70,10,4,9,0,4,1,4,6,0,6,10,21,10,4,0,45,11,44,0,24,0,11,0,4,0,7,0,5,6,15,2
26,2,0,5,11,6,9,19,64,22,20,0,0,17,9,10,20,37,2,13,17,0,30,0,30,38,11,4,8,0,5,0,4,9,0,10,11,21,11,8,28,27,12,59,0,23,0,11,0,4,0,7,0,4,7,12,4
28,3,0,4,9,7,9,18,65,21,21,0,0,16,9,9,46,24,4,12,15,0,29,0,22,53,10,4,7,0,5,0,3,8,0,10,10,17,10,5,0,26,11,42,0,22,0,9,0,3,0,10,0,3,6,15,26
22,2,0,5,4,5,9,18,66,24,18,0,0,13,8,9,19,29,2,12,14,0,30,0,29,46,9,3,6,0,4,0,2,8,0,9,8,23,10,0,13,45,10,39,0,22,0,8,0,3,0,8,0,3,6,0,1
22,2,0,5,5,5,9,18,63,23,24,0,0,15,8,9,17,21,3,12,14,0,28,0,30,51,11,3,6,0,3,1,3,9,0,8,10,18,10,0,21,49,10,31,0,25,0,9,0,4,0,6,0,6,7,15,1
14,3,0,5,9,6,10,18,61,21,24,0,0,18,7,9,18,24,3,13,15,8,29,0,35,49,12,3,6,0,4,1,2,9,0,8,9,17,10,3,0,30,9,60,0,25,0,9,0,4,0,8,55,6,6,17,2
27,3,0,4,7,7,12,19,61,23,23,0,0,16,9,9,24,23,4,14,17,9,32,0,47,62,12,4,7,11,4,1,3,8,0,7,8,17,10,4,16,25,8,41,0,24,0,10,0,4,0,8,0,3,6,16,1
21,2,0,5,7,5,12,17,65,22,24,0,0,15,8,9,12,30,3,13,21,0,34,0,32,43,11,4,7,0,3,1,2,8,0,8,7,22,10,3,0,34,8,57,0,22,0,8,0,3,0,9,0,3,6,11,1
16,2,0,3,4,5,10,15,58,20,14,73,0,13,6,7,33,19,2,12,22,9,18,0,26,16,11,3,5,100,2,0,2,5,0,7,6,20,8,0,12,40,10,48,0,18,0,7,0,2,0,6,0,2,4,11,0
14,2,0,2,3,4,8,14,59,18,12,0,0,13,5,6,51,13,1,10,17,0,14,5,27,35,10,3,3,27,3,0,1,4,0,9,9,10,6,3,0,20,12,37,0,16,0,5,0,1,0,5,0,2,4,0,1
12,2,0,2,2,4,11,15,60,18,13,0,0,11,4,5,20,16,1,12,26,0,16,0,29,34,11,3,4,0,2,0,1,6,0,8,7,15,6,0,0,25,9,51,0,15,0,5,0,2,0,6,0,2,4,0,0
22,2,0,3,4,5,12,21,75,21,16,0,0,13,7,8,11,13,2,14,27,0,25,0,28,53,13,3,5,0,3,0,1,5,0,8,7,16,9,0,0,29,8,56,0,19,0,7,0,3,0,4,0,2,5,0,0
20,2,0,5,5,9,11,18,71,23,19,0,0,14,8,8,13,32,2,13,24,0,31,0,30,57,12,4,6,0,3,1,2,7,0,6,11,17,9,5,15,46,8,62,0,22,0,8,0,3,0,7,40,3,6,12,1
